event_ts_min,ts_min_bignt,room,timestamp,co2,light,temp,humidity,pir
2013-08-23 23:37:00,1377301020,748,1377301047.0,557.8333333333334,5.0,23.2,50.635,0.0
2013-08-23 23:38:00,1377301080,666,1377301113.0,482.8333333333333,102.5,23.788333333333338,50.38333333333333,0.0
2013-08-23 23:38:00,1377301080,717,1377301111.0,431.5,101.0,23.41,51.15,0.0
2013-08-23 23:38:00,1377301080,726,1377301105.0,466.8333333333333,3.6666666666666665,24.49333333333333,48.19,0.0
2013-08-23 23:38:00,1377301080,748,1377301107.0,558.0,4.5,23.19666666666667,50.629999999999995,0.0
2013-08-23 23:39:00,1377301140,419,1377301184.6666667,660.3333333333334,143.0,23.606666666666666,52.919999999999995,28.333333333333332
2013-08-23 23:39:00,1377301140,666,1377301173.0,475.0,127.83333333333333,23.765,50.405,0.0
2013-08-23 23:39:00,1377301140,726,1377301165.0,471.3333333333333,3.5,24.496666666666666,48.185,0.0
2013-08-23 23:39:00,1377301140,748,1377301167.0,550.8333333333334,4.833333333333333,23.198333333333334,50.64000000000001,0.0
2013-08-23 23:40:00,1377301200,419,1377301226.3333333,666.0,143.33333333333334,23.60666666666667,52.89666666666667,26.333333333333332
2013-08-23 23:40:00,1377301200,666,1377301233.0,479.5,130.16666666666666,23.753333333333334,50.44,0.0
2013-08-23 23:40:00,1377301200,717,1377301241.0,441.0,110.0,23.41,51.15,0.0
2013-08-23 23:40:00,1377301200,726,1377301225.0,471.0,3.1666666666666665,24.496666666666666,48.185,0.0
2013-08-23 23:40:00,1377301200,748,1377301227.0,548.0,5.0,23.195000000000004,50.645,0.0
2013-08-23 23:41:00,1377301260,666,1377301293.0,481.0,132.33333333333334,23.738333333333333,50.475,0.0
2013-08-23 23:41:00,1377301260,717,1377301293.5,436.5,111.25,23.4175,51.18,0.0
2013-08-23 23:41:00,1377301260,726,1377301285.0,459.8333333333333,3.6666666666666665,24.495,48.19,0.0
2013-08-23 23:41:00,1377301260,748,1377301288.0,553.2,5.0,23.194,50.64,0.0
